% Model:              Luke_electric_field_simulation_V2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 11 2024, 22:31
% Dimension:          3
% Nodes:              5305
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
-37.61759296227891        -16.341300345845948      0                        -5737.076788949073
-35.59307829043532        -20.823578858070764      0                        -4236.656853762426
-36.788424605162          -19.258333563958843      0                        -3872.5713715994125
-39.924503175924414       -2.4499105708195645      0                        -7155.243997230367
-38.50879943141945        -3.139346797134588       0                        -6.063298011819522E-12
-39.79081455675801        -4.077803708060315       0                        -7457.568561493201
-39.590583055888914       -5.701371338038868       0                        -6915.572753823539
-38.34629549373628        -4.71116568242513        0                        -9.094947017729282E-12
-10.17198674839061        -38.68463007472228       0                        -1618.5425227619753
-8.421896449160391        -39.102503767791205      0                        -1529.4690447031712
-9.623305233218604        -39.941482130843966      -5.551115123125783E-17   -1261.3426344369325
-11.92700641600847        -38.18042282823002       0                        -1808.8552419987332
-13.782045738957892       -39.190129147441226      -5.551115123125783E-17   -1430.4289425621057
-6.683475160713938        -39.436599122675645      0                        -756.0837944799769
-7.263298331887761        -37.942988867029044      0                        1.5158245029548805E-12
-12.349387446899227       -36.52068453399582       0                        -3.031649005909761E-12
-8.970033515234562        -37.540259839192565      0                        9.094947017729282E-13
-10.691716101886708       -37.05979033770927       0                        6.063298011819521E-13
-11.811277571712306       -40.0523180271322        -1.6653345369377348E-16  -1136.304254749191
-7.525592725750779        -40.75564400912317       5.551115123125783E-17    -585.3858930533903
-38.99088981842006        -8.925056095786372       0                        -6491.062439908517
-37.462770367008986       -9.389732683739473       0                        -4.244308608273665E-12
-39.323928534248495       -7.3179155827472195      0                        -5894.689974135886
-38.11333027000343        -6.289707001356753       0                        5.153803310046594E-12
-37.82714925751121        -7.841783687581082       0                        -8.185452315956354E-12
-40.00305588100167        -10.250479959715914      0                        -5339.803102213129
-37.62077280647244        -17.645664980267004      -5.551115123125783E-17   -4062.67079455309
-39.61259819056461        -12.102944430148415      -1.1102230246251565E-16  -4734.637150042523
-39.99155867814184        -0.8188024221550997      0                        -7067.196818002123
-38.601316695205355       -1.5789653949144598      0                        -6.063298011819522E-12
-39.99166354131431        0.8136987625892353       0                        -6438.190767399991
