Model:,Luke_electric_field_simulation_V2.mph,,,
Version:,COMSOL,5.6.0.401,,
Date:,Mar,11,"2024,",22:13
Dimension:,3,,,
Nodes:,46324,,,
Expressions:,1,,,
Description:,Multislice,,,
x,y,z,Color,
-38.67833741,-7.15E-15,5.244364008,0.090296072,
-38.62528949,-7.11E-15,5.216893494,0.090347045,
-38.25964174,-7.11E-15,5.191556027,0.092524974,
-38.34731732,-7.06E-15,5.073263308,0.090613406,
-38.62541091,-7.10E-15,5.055396066,0.08856038,
-38.88370435,-7.08E-15,4.969758677,0.085888534,
-38.74664136,-7.11E-15,5.15363451,0.088840037,
-38.95394859,-7.08E-15,5.426206702,0.090472784,
-38.99184648,-7.11E-15,5.406318282,0.089996276,
-38.51157914,-7.11E-15,5.276688686,0.091780631,
-38.9916132,-7.08E-15,5.025392684,0.085787037,
-38.99197582,-7.12E-15,5.352605643,0.089402632,
-38.99213923,-7.11E-15,4.826058525,0.083591862,
-38.99189033,-7.08E-15,5.43905132,0.090360242,
-37.99467757,-7.12E-15,5.272936414,0.095364699,
-37.89904551,-7.11E-15,5.155621293,0.097980861,
-38.81489755,-7.15E-15,5.69826505,0.094526963,
-38.40445465,-7.09E-15,5.485638248,0.095131998,
-38.62442455,-7.09E-15,5.600078206,0.094804749,
-38.25832795,-7.09E-15,5.410237392,0.09534613,
-38.99114059,-7.08E-15,5.789865192,0.094279071,
-39.99675135,-7.11E-15,1.357117229,-7221.035416,
-40.01456124,-7.11E-15,1.345071359,-7314.156431,
-39.99688455,-7.11E-15,1.326747223,-7324.917449,
-39.99882753,-7.11E-15,0.452797454,-9002.951708,
-40.00291425,-7.11E-15,0.455840767,-8991.854047,
-40.00161455,-7.11E-15,0.450890892,-9002.969107,
-39.99691083,-7.11E-15,0.905183085,-8132.954024,
-40.14691694,-7.11E-15,1.017334123,-7770.290323,
-40.09917473,-7.05E-15,0.834986708,-8131.686215,
-40.04205772,-7.11E-15,0.485373352,-8882.444654,
-40.1949744,-7.16E-15,0.316650836,-9004.231041,
-40.00616691,-7.11E-15,0.447774023,-9002.983589,
-40.28631589,-7.18E-15,0.669885409,-8199.537245,
-39.99888387,-7.11E-15,0.440167454,-9027.18834,
-39.99882529,-7.10E-15,0.465920449,-8977.87295,
-40.14268706,-7.13E-15,0.108055405,-9880.676804,
-40.26616143,-7.12E-15,0.720265512,-8136.625548,
-40.31074942,-7.08E-15,0.236179987,-9302.840714,
-40.31136309,-7.09E-15,0.606891154,-8277.860821,
-40.42488456,-7.11E-15,0.322157716,-8867.393732,
-39.99499761,-7.11E-15,2.256842377,-6678.725912,
-39.99502836,-7.11E-15,2.312613044,-6647.632357,
-40.0237191,-7.10E-15,2.242143317,-6673.599572,
-39.99505113,-7.11E-15,1.807251407,-6928.996755,
-40.05678493,-7.10E-15,2.161322455,-6703.198031,
-40.25500895,-7.11E-15,1.673960062,-6872.188956,
-39.99520494,-7.11E-15,2.20399353,-6708.059904,
-40.42507023,-7.11E-15,2.034663611,-6600.752116,
-40.42484199,-7.10E-15,2.172824363,-6523.628112,
-40.49627654,-7.11E-15,1.998257323,-6584.248517,
-40.06039464,-7.11E-15,2.291387968,-6628.816854,
-40.26487759,-7.11E-15,2.566379029,-6374.081366,
-40.42587222,-7.11E-15,1.903759259,-6667.966261,
-40.42300704,-7.13E-15,2.484040442,-6350.874448,
-40.58683674,-7.09E-15,2.120245322,-6475.945901,
-39.99357478,-7.13E-15,2.706227799,-6398.72597,
-39.99675912,-7.11E-15,1.389095915,-7160.700974,
-40.03356881,-7.11E-15,1.377201862,-7212.789677,
-40.73673556,-7.13E-15,2.322481555,-6305.288096,
-40.42808479,-7.19E-15,1.716012321,-6768.166737,
-40.42895205,-7.16E-15,1.642420959,-6872.085838,
-40.85890612,-7.22E-15,2.086306344,-6384.759088,
-40.8611199,-7.11E-15,1.932314801,-6474.387177,
-40.85581931,-7.16E-15,2.301026469,-6271.93716,
-40.6013276,-7.11E-15,1.758048743,-6713.469049,
-41.22190802,-7.09E-15,2.174327837,-6142.895139,
-41.12797304,-7.10E-15,2.251993069,-6196.779075,
-41.29328775,-7.11E-15,2.222208643,-6120.286761,
-40.42937962,-7.11E-15,-1.112555398,-4412.33959,
-40.17622058,-7.09E-15,-1.235996493,-3966.614726,
-40.16416011,-7.09E-15,-0.695653887,-3719.151992,
-39.99968451,-7.09E-15,-0.437112859,-3303.038007,
-39.85290969,-7.08E-15,-0.508046265,-3030.629418,
-40.01898085,-7.08E-15,-0.884601335,-3488.659191,
-39.86587276,-7.08E-15,-1.087077433,-3286.223022,
-39.57919776,-7.09E-15,-0.640325893,-2706.813321,
-40.15808527,-7.12E-15,-0.360560867,-6433.711546,
-40.25307676,-7.09E-15,-0.578478329,-6021.035177,
-40.01262083,-7.08E-15,-1.315768211,-3427.948419,
-40.47869034,-7.11E-15,-1.088511343,-5096.964051,
-38.6082952,-7.09E-15,5.97191727,0.097196444,
-38.61855379,-7.13E-15,5.735420131,0.095844601,
-38.27796651,-7.11E-15,5.800062842,0.097983067,
-38.23814511,-7.11E-15,5.899050987,0.09882484,
-38.24195062,-7.11E-15,5.80688429,0.098207447,
-38.15738623,-7.11E-15,5.82294871,0.098827697,
-37.9545414,-7.11E-15,5.631800025,0.098833495,
-38.24297772,-7.11E-15,5.782008751,0.098053154,
-38.2540384,-7.09E-15,5.514127251,0.096386399,
-37.90086484,-7.10E-15,5.581218476,0.098835133,
-38.29521979,-7.11E-15,5.757174592,0.097638634,
-38.72688504,-7.11E-15,5.915674119,0.096300758,
-38.41390763,-7.11E-15,6.064678944,0.098651193,
-37.87949451,-7.11E-15,5.561080378,0.101371812,
-38.23878623,-7.13E-15,6.106587208,0.099768177,
-38.147952,-7.11E-15,6.128324727,0.100413968,
-38.23373853,-7.16E-15,6.163278932,0.099772578,
-38.29531046,-7.09E-15,6.188302218,0.099778559,
-38.22501918,-7.12E-15,6.261207654,0.100496267,
-38.05269161,-7.09E-15,6.440505621,0.102866353,
